,rawcyano,¼ö¿Â(¡É),DO(mg/L),T-N(mg/L),Tem_d,Rain_d,Q_d
301,228837,30.6,11.1,1.236,-27.91844,0.8186395,-89.50004
302,350692,28.1,12.6,1.385,-27.335527,0.75431657,-71.19927
303,2069,25.3,6.5,2.306,-25.412878,-2.47359,-893.8234
304,199,23.8,7.8,2.262,-23.267647,-3.3481271,-1056.8488
305,808,23.2,8.4,2.542,-21.839527,0.7417036,-180.09941
306,847,23.2,8.7,2.005,-21.555666,0.62818706,-155.46935
307,1149,22.1,10.4,2.619,-18.672699,0.4389928,-197.3371
308,3425,20.7,9.7,2.638,-16.395376,2.2347283,9.195755
309,894,17.7,11.6,2.232,-13.754491,0.43268633,-142.13306
310,1308,16.8,10.8,2.234,-12.6051855,0.65341294,-105.924484
311,1344,15.5,11.5,2.573,-7.6401725,0.43268633,-89.051605
312,5563,13.7,12.4,2.658,-10.684855,1.7444332,-81.157906
313,718,14.0,10.7,3.069,-8.519877,0.45160577,-95.83076
314,282,12.8,8.1,2.782,-4.3095856,0.4389928,-75.877
315,923,10.1,13.3,3.101,-4.14107,0.43268633,-89.13834
316,128,9.2,13.2,2.916,-4.4954605,-0.5825096,-109.147804
317,1255,6.9,12.9,3.327,0.9270564,0.43268633,-77.98418
318,331,4.8,14.3,3.302,0.30676118,0.43268633,-111.28492
319,61,5.0,14.9,3.285,0.7610084,0.43268633,-95.34297
320,21,2.6,11.0,3.833,0.5709001,0.60926765,-56.642395
321,0,3.1,12.2,3.556,0.68483293,0.43268633,-60.35609
322,75,3.5,14.6,3.56,-0.5832872,0.43268633,-53.65387
323,406,3.6,14.9,3.616,0.5504434,1.0633339,-114.43524
324,0,4.6,15.9,3.967,-3.7248664,0.43268633,-69.12475
325,102,4.3,15.2,3.752,-0.98459077,0.43268633,-56.940998
326,64,5.0,14.2,3.383,-2.2739644,0.43268633,-77.36224
327,88,6.5,14.1,3.775,-6.8025026,0.43268633,-3.5169933
328,98,8.5,16.1,3.376,-8.10578,0.55881584,0.6523528
329,119,10.2,15.1,3.217,-5.01759,0.59665465,-33.897717
330,82,9.8,15.2,3.401,-9.303512,1.2209958,-60.3694
331,44,10.9,14.2,3.272,-7.4552603,0.60926765,-63.692368
332,0,12.1,11.0,3.317,-7.1790814,0.43268633,-43.308136
333,5,13.7,10.3,3.379,-10.020674,-2.8602698,-57.306633
334,0,13.7,12.0,3.171,-12.85114,0.43268633,-83.22513
335,0,15.7,11.6,3.005,-15.227454,-0.75477517,-84.917114
336,61,16.7,9.1,3.193,-13.791844,0.43268633,-221.93251
337,0,18.6,10.9,2.298,-15.795335,0.43268633,-95.022285
338,489,20.7,10.8,2.112,-20.721521,1.0870671,-27.136951
339,281,21.5,7.6,1.96,-19.384697,0.43268633,-73.05916
340,74,22.1,8.8,1.823,-20.646856,0.4894446,-105.973465
341,3011,23.1,12.9,1.651,-23.472996,0.8173813,-90.25098
342,3460,24.2,9.3,1.962,-20.88192,1.0570273,-109.65097
343,37867,24.8,9.3,1.688,-23.07742,0.7147802,-128.66
344,50431,26.2,12.5,1.562,-22.19738,5.4526405,-118.25918
345,40468,24.0,7.4,2.247,-25.668056,0.43268633,-152.65376
